Date,Time,Country,Competition,Season,HomeTeam,AwayTeam,Match_Status,URL,Is_Knockout,Went_To_ET,Match_Winner_Final,FT_HomeScore,FT_AwayScore,HT_HomeScore,HT_AwayScore,SH_HomeScore,SH_AwayScore,ET_HomeScore,ET_AwayScore,Penalties_HomeScore,Penalties_AwayScore,FT_HomeOdds,FT_DrawOdds,FT_AwayOdds,1H_HomeOdds,1H_DrawOdds,1H_AwayOdds,SH_HomeOdds,SH_DrawOdds,SH_AwayOdds,OU05_Over,OU05_Under,OU15_Over,OU15_Under,OU25_Over,OU25_Under,OU35_Over,OU35_Under,OU45_Over,OU45_Under,OU55_Over,OU55_Under,BTTS_Yes,BTTS_No,BTTS_1H_Yes,BTTS_1H_No,BTTS_2H_Yes,BTTS_2H_No,DNB_Home,DNB_Away,DC_FT_1X,DC_FT_12,DC_FT_X2,DC_1H_1X,DC_1H_12,DC_1H_X2,DC_2H_1X,DC_2H_12,DC_2H_X2
25 May 2026,01:00,England,Premier League,2025/2026,Crystal Palace,Arsenal,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/arsenal-crystal-palace-UNC9hLMj/,No,No,Away,1.0,2.0,0.0,1.0,1.0,1.0,,,,,4.1,3.6,1.85,4.33,2.3,2.4,3.75,2.5,2.2,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,11.0,1.05,1.7,2.05,4.33,1.2,3.25,1.33,3.0,1.36,1.91,1.29,1.22,1.53,1.57,1.2,1.6,1.41,1.2
25 May 2026,01:00,England,Premier League,2025/2026,Manchester City,Aston Villa,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/aston-villa-manchester-city-zLXUefTr/,No,No,Away,1.0,2.0,1.0,0.0,0.0,2.0,,,,,1.42,5.0,6.5,1.8,2.75,6.0,1.67,3.1,5.5,1.01,21.0,1.11,6.5,1.36,3.2,1.91,1.91,3.2,1.36,5.5,1.14,1.57,2.25,3.5,1.29,2.63,1.44,1.14,5.5,1.11,1.17,2.75,1.11,1.4,1.91,1.1,1.27,2.12
25 May 2026,01:00,England,Premier League,2025/2026,Nottingham,Bournemouth,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/bournemouth-nottingham-roywfYce/,No,No,Draw,1.0,1.0,1.0,0.0,0.0,1.0,,,,,3.7,3.8,1.91,4.0,2.4,2.4,3.5,2.63,2.2,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,8.0,1.08,1.57,2.25,3.75,1.25,2.75,1.4,2.75,1.4,1.83,1.25,1.29,1.53,1.53,1.22,1.58,1.39,1.24
25 May 2026,01:00,England,Premier League,2025/2026,Liverpool,Brentford,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brentford-liverpool-Iqg4E2qA/,No,No,Draw,1.0,1.0,0.0,0.0,1.0,1.0,,,,,1.8,4.0,4.0,2.2,2.63,4.0,2.0,2.88,3.6,1.02,19.0,1.11,6.5,1.4,3.0,2.0,1.8,3.4,1.33,5.5,1.14,1.4,2.75,3.25,1.33,2.38,1.53,1.36,3.0,1.22,1.22,1.95,1.22,1.44,1.62,1.2,1.32,1.73
25 May 2026,01:00,England,Premier League,2025/2026,Brighton,Manchester Utd,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brighton-manchester-united-xQXUa3UG/,No,No,Away,0.0,3.0,0.0,2.0,0.0,1.0,,,,,1.85,4.33,3.5,2.38,2.6,3.75,2.1,2.88,3.4,1.02,19.0,1.14,5.5,1.44,2.75,2.1,1.73,3.5,1.3,6.0,1.13,1.44,2.63,3.4,1.3,2.5,1.5,1.44,2.63,1.29,1.2,1.91,1.25,1.5,1.53,1.25,1.34,1.6
25 May 2026,01:00,England,Premier League,2025/2026,Burnley,Wolves,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/burnley-wolves-buMwbsaT/,No,No,Draw,1.0,1.0,0.0,1.0,1.0,0.0,,,,,2.35,3.4,2.9,2.88,2.3,3.4,2.6,2.5,3.0,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,10.0,1.06,1.62,2.2,4.0,1.22,3.0,1.36,1.67,2.1,1.4,1.3,1.57,1.3,1.57,1.4,1.31,1.43,1.42
25 May 2026,01:00,England,Premier League,2025/2026,Sunderland,Chelsea,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/chelsea-sunderland-40PohCS7/,No,No,Home,2.0,1.0,1.0,0.0,1.0,1.0,,,,,3.3,3.8,2.05,3.75,2.3,2.6,3.4,2.6,2.3,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,10.0,1.06,1.62,2.2,4.0,1.22,3.0,1.36,2.5,1.5,1.73,1.25,1.33,1.5,1.57,1.25,1.52,1.41,1.25
25 May 2026,01:00,England,Premier League,2025/2026,Tottenham,Everton,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/everton-tottenham-W6HXFFKE/,No,No,Home,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1.91,3.5,4.1,2.5,2.2,4.5,2.2,2.4,4.0,1.06,10.0,1.3,3.5,2.0,1.8,3.4,1.33,6.5,1.11,13.0,1.04,1.8,1.95,4.5,1.18,3.5,1.29,1.36,3.0,1.22,1.29,1.83,1.17,1.62,1.5,1.18,1.44,1.6
25 May 2026,01:00,England,Premier League,2025/2026,Fulham,Newcastle,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/fulham-newcastle-utd-pWfdGOEc/,No,No,Home,2.0,0.0,1.0,0.0,1.0,0.0,,,,,2.5,3.7,2.6,2.88,2.5,3.0,2.63,2.75,2.63,1.02,17.0,1.14,5.5,1.5,2.63,2.2,1.67,3.75,1.29,6.5,1.11,1.4,2.75,3.4,1.3,2.5,1.5,1.83,1.83,1.5,1.29,1.5,1.36,1.5,1.4,1.4,1.37,1.39
25 May 2026,01:00,England,Premier League,2025/2026,West Ham,Leeds,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/leeds-west-ham-CGPuEgkR/,No,No,Home,3.0,0.0,0.0,0.0,3.0,0.0,,,,,1.7,4.1,4.5,2.2,2.4,4.5,2.0,2.75,4.0,1.03,15.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,8.0,1.08,1.62,2.2,4.0,1.22,3.0,1.36,1.3,3.4,1.18,1.22,2.1,1.17,1.53,1.62,1.18,1.36,1.71
20 May 2026,05:15,England,Premier League,2025/2026,Chelsea,Tottenham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/chelsea-tottenham-Uu6uknGb/,No,No,Home,2.0,1.0,1.0,0.0,1.0,1.0,,,,,2.25,3.25,3.3,2.88,2.2,3.75,2.5,2.4,3.25,1.06,10.0,1.29,3.75,1.91,1.91,3.4,1.33,6.0,1.13,13.0,1.04,1.7,2.05,4.5,1.18,3.25,1.33,1.57,2.25,1.33,1.33,1.62,1.25,1.62,1.4,1.25,1.46,1.46
20 May 2026,04:30,England,Premier League,2025/2026,Bournemouth,Manchester City,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/bournemouth-manchester-city-rkXMW40U/,No,No,Draw,1.0,1.0,1.0,0.0,0.0,1.0,,,,,4.75,4.5,1.62,4.75,2.5,2.1,4.33,2.88,1.91,1.02,19.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,7.0,1.1,1.62,2.2,3.75,1.25,2.75,1.4,3.5,1.29,2.25,1.18,1.18,1.67,1.5,1.17,1.75,1.36,1.16
19 May 2026,05:00,England,Premier League,2025/2026,Arsenal,Burnley,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/arsenal-burnley-Gxt6zm15/,No,No,Home,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1.09,10.0,26.0,1.36,3.5,17.0,1.25,4.0,13.0,1.01,21.0,1.11,6.5,1.36,3.2,2.0,1.8,3.2,1.36,5.5,1.14,2.63,1.44,6.5,1.11,4.33,1.2,1.01,21.0,1.01,1.06,8.0,,1.29,3.0,1.03,1.15,3.58
18 May 2026,02:30,England,Premier League,2025/2026,Newcastle,West Ham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/newcastle-utd-west-ham-z1yE3oVi/,No,No,Home,3.0,1.0,2.0,0.0,1.0,1.0,,,,,2.05,3.9,3.2,2.6,2.4,3.6,2.3,2.75,3.2,1.02,17.0,1.17,5.0,1.57,2.38,2.3,1.62,4.0,1.25,8.0,1.08,1.5,2.5,3.5,1.29,2.63,1.44,1.53,2.38,1.36,1.25,1.73,1.29,1.53,1.5,1.28,1.37,1.53
18 May 2026,00:00,England,Premier League,2025/2026,Brentford,Crystal Palace,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brentford-crystal-palace-MF2Xj8on/,No,No,Draw,2.0,2.0,1.0,1.0,1.0,1.0,,,,,1.75,3.9,4.33,2.25,2.38,4.75,2.05,2.63,4.0,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,10.0,1.06,1.7,2.05,4.33,1.2,3.25,1.33,1.3,3.4,1.2,1.25,2.0,1.17,1.53,1.57,1.17,1.39,1.68
18 May 2026,00:00,England,Premier League,2025/2026,Leeds,Brighton,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brighton-leeds-OM7eo4FN/,No,No,Home,1.0,0.0,0.0,0.0,1.0,0.0,,,,,3.5,3.5,2.05,4.0,2.2,2.63,3.4,2.5,2.4,1.05,11.0,1.29,3.75,1.91,1.91,3.4,1.33,6.0,1.13,13.0,1.04,1.75,2.0,4.5,1.18,3.25,1.33,2.5,1.5,1.73,1.29,1.29,1.44,1.62,1.22,1.48,1.48,1.22
18 May 2026,00:00,England,Premier League,2025/2026,Everton,Sunderland,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/everton-sunderland-jeflmQpB/,No,No,Away,1.0,3.0,1.0,0.0,0.0,3.0,,,,,1.75,3.7,4.33,2.38,2.25,4.75,2.1,2.5,4.0,1.05,11.0,1.29,3.75,1.91,1.91,3.2,1.36,6.0,1.13,13.0,1.04,1.8,1.95,4.5,1.18,3.4,1.3,1.3,3.4,1.2,1.29,2.0,1.17,1.57,1.53,1.18,1.44,1.61
